event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",07b357090cc91c2c,bantamweight,0,Decision - Unanimous,3,300,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",3b2a24db4eeaeede,heavyweight,0,Submission,1,77,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",2ae33fce63a75df9,flyweight,0,Decision - Unanimous,3,300,3.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",7b9f169016746f81,welterweight,0,Submission,2,298,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",de85ef2fd4769070,light heavyweight,0,Decision - Majority,3,300,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",d13849f49f99bf01,middleweight,1,Decision - Unanimous,5,300,5.0
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,2025/02/15,"Las Vegas, Nevada, USA",58668a0736602842,women's bantamweight,0,Decision - Unanimous,3,300,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",8435f90fbd50c7a5,heavyweight,0,KO/TKO,1,35,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",4ce53d8a26693f06,welterweight,0,Decision - Unanimous,3,300,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",c35a53be30bfd066,featherweight,0,Submission,3,126,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",03c2a836d033be8f,women's strawweight,1,Decision - Unanimous,5,300,5.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",946cae1beed2baec,women's flyweight,0,Decision - Unanimous,3,300,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",64641156360b1b81,lightweight,0,Decision - Unanimous,3,300,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",c7fadbdfdc14c282,bantamweight,0,Decision - Unanimous,3,300,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",8bc8bb0021337de7,welterweight,0,Decision - Unanimous,3,300,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",daef1691c7d6b1e4,lightweight,1,Submission,1,245,5.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",1f70a4516a70abf2,lightweight,0,Decision - Unanimous,3,300,3.0
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,2025/02/08,"Sydney, New South Wales, Australia",4218d1d1ce6d322c,lightweight,0,KO/TKO,1,19,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",f39941b3743bf18c,bantamweight,1,Decision - Unanimous,5,300,5.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",959fea398ffa5778,light heavyweight,0,KO/TKO,3,181,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",54d48b33e7240452,heavyweight,0,KO/TKO,1,293,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",69d63c057aebffaf,middleweight,0,Submission,1,211,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",d14f98b24691d082,bantamweight,0,Decision - Unanimous,3,300,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",938081fae11dcbbf,middleweight,0,KO/TKO,1,184,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",a6db8eb1fb3eebf2,light heavyweight,0,Submission,2,213,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",e294a1e5723011db,flyweight,0,Decision - Unanimous,3,300,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",340fcdcabc49f142,women's bantamweight,0,Decision - Unanimous,3,300,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",95ba27bea09cd84e,bantamweight,0,Decision - Unanimous,3,300,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",ce4fc800a7456d18,welterweight,0,KO/TKO,3,193,3.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",e5e3d396a9b1c5ae,bantamweight,0,Decision - Unanimous,3,300,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",a2a5809ed8a01b45,middleweight,0,KO/TKO,1,256,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",f46308108eb9261a,women's strawweight,0,Submission,3,296,5.0
39f68882def7a507,UFC 311: Makhachev vs. Moicano,2025/01/18,"Inglewood, California, USA",aa3fca085d476636,lightweight,0,Decision - Unanimous,3,300,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",03c1865919daeaa4,featherweight,0,Decision - Unanimous,3,300,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",54fa6e32330a8cca,lightweight,0,Decision - Unanimous,3,300,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",32cc31b76b32ade1,welterweight,0,KO/TKO,1,31,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",8d68863242695224,middleweight,0,KO/TKO,1,184,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",8a3281b0d7c168af,flyweight,0,Submission,1,124,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",58eda5a58a89f739,welterweight,0,KO/TKO,1,73,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",817cd15077a9419e,light heavyweight,0,Decision - Unanimous,3,300,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",aa38e39397dbea72,middleweight,0,KO/TKO,3,299,3.0
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,2025/01/11,"Las Vegas, Nevada, USA",192619174bd1ad77,lightweight,0,Decision - Unanimous,3,300,3.0
