id,name,nick_name,wins,losses,draws,height,weight,reach,stance
46c8ec317aff28ac,Patrick Smith,,20,17,0,187.96,102.06,,Orthodox
1e719d4b676dc19a,Brunno Ferreira,The Hulk,13,2,0,177.8,83.91,182.88,Orthodox
b9415726dc3ec526,Rodney Wallace,Shonuff the Master,26,15,1,175.26,92.99,182.88,Switch
4304992c2acc187b,Bart Palaszewski,Bartimus,36,17,0,175.26,65.77,177.8,Orthodox
b5ea750025697880,Rex Holman,Big Dog,4,2,0,190.5,92.99,,Southpaw
1ddb480b601cefb1,Chance Rencountre,Black Eagle,14,4,0,187.96,77.11,190.5,Southpaw
6f81b6de2557739a,Jacob Volkmann,Christmas,19,7,0,175.26,70.31,180.34,Southpaw
6751eacd16bd59bc,Josh Culibao,Kuya,11,4,1,177.8,65.77,185.42,Orthodox
476fe566d2df676e,Modestas Bukauskas,The Baltic Gladiator,18,6,0,190.5,92.99,198.12,Switch
411539901068522f,Jodie Esquibel,,6,6,0,154.94,52.16,162.56,Orthodox
7b9aa973e5c04624,Eddie Ruiz,,1,1,0,170.18,70.31,,Orthodox
952f6fa06f25a0ec,Carlos Newton,The Ronin,16,14,0,175.26,77.11,,Orthodox
ee9d73f4fee9cbdd,Antonio Rodrigo Nogueira,Minotauro,34,10,1,190.5,108.86,195.58,Orthodox
18524b46c570730b,Mark Hall,,5,6,0,182.88,86.18,,Orthodox
260e9e0d4954aea6,Rodolfo Vieira,,10,3,0,182.88,83.91,185.42,Orthodox
aebfb84d1f6d2d8c,Allen Berube,Monstah Lobstah,4,3,0,172.72,70.31,,Orthodox
cc900c6a71ed23f3,Clay Collard,Cassius,14,7,0,180.34,65.77,185.42,Orthodox
19db7ac26308178f,Ivan Jorge,Batman,27,7,0,175.26,70.31,185.42,Orthodox
1a31ef98efce7a79,Matheus Nicolau,,19,6,1,167.64,56.7,167.64,Orthodox
4a57ebb14315b251,Randa Markos,Quiet Storm,11,12,1,162.56,52.16,160.02,Orthodox
85d905f7c4f5a1af,Murilo Bustamante,,15,8,1,187.96,83.01,,Orthodox
ea7e5bc78d9de658,Makhmud Muradov,,26,8,0,187.96,83.91,190.5,Orthodox
4908c5ee68a50ee5,Brad Imes,Hillbilly Heartthrob,13,7,0,200.66,120.2,,Orthodox
fb37795db81f93f3,Bogdan Grad,The Unleashed,15,3,0,172.72,65.77,177.8,Orthodox
f6ad6a1e4d600e0d,Mason Jones,The Dragon,16,2,0,177.8,70.31,187.96,Orthodox
c742287ed86a09bc,Jessica Penne,,14,9,0,165.1,52.16,170.18,Orthodox
6776260cb0aef647,Logan Clark,,18,6,0,187.96,83.91,,Orthodox
56f4b81ec4db61af,Courtney Turner,,0,3,0,187.96,77.11,,
6803d4d6908354ac,Brad Morris,,10,6,0,187.96,92.99,,Orthodox
5df17b3620145578,Cole Escovedo,Apache Kid,17,9,0,170.18,61.23,182.88,Orthodox
8cb76103cd8a1562,Nick Pace,,8,3,0,170.18,61.23,172.72,Orthodox
c5af5750e8bae4f0,Kyle Bochniak,Killer B,8,5,0,170.18,65.77,177.8,Orthodox
cd2e5a390821fb48,TJ Laramie,,12,5,0,167.64,65.77,167.64,Orthodox
55f446032177b119,Chris Beal,Real Deal,10,5,0,170.18,56.7,175.26,Orthodox
1208ffc5be6e31ad,Samy Schiavo,,10,6,0,172.72,70.31,,Orthodox
b1b0729d27936f2f,Belal Muhammad,Remember the Name,24,4,0,180.34,77.11,182.88,Orthodox
068f8a189a47fea6,Maurice Greene,The Crochet Boss,9,7,0,200.66,117.03,203.2,Orthodox
97cf1a2c7c5e7889,Steve Garcia,Mean Machine,18,5,0,182.88,65.77,190.5,Southpaw
0fd5f4b838e890cc,Said Nurmagomedov,,18,4,0,172.72,61.23,177.8,Orthodox
1536a25e16fc299b,Anna Elmose,Panda,3,2,0,160.02,52.16,,Orthodox
99c7610aa74995d3,Cathal Pendred,The Punisher,17,4,1,185.42,77.11,190.5,Orthodox
8d20d76af3f213ce,Joseph Holmes,Uglyman Joe,8,4,0,193.04,83.91,203.2,Orthodox
3ecd936bd8814108,Cat Zingano,Alpha,10,4,0,167.64,65.77,172.72,Southpaw
30b577b112bef42d,Vernon Ramos Ho,,3,1,0,167.64,77.11,,Orthodox
6c7020b859c7a3ce,Edimilson Souza,Kevin,15,5,0,182.88,65.77,187.96,Orthodox
e023fa2e648ea0f1,Steve Bosse,The Boss,12,2,0,180.34,92.99,182.88,Orthodox
a4e85a58fbce64b2,Joe Soto,One Bad Mofo,18,7,0,167.64,61.23,165.1,Orthodox
e70de1859b7ee78e,Sultan Aliev,,15,3,0,180.34,77.11,187.96,Orthodox
369ea36e450ae62a,Armen Petrosyan,Superman,9,5,0,190.5,83.91,180.34,Orthodox
23a6e307077c6ccc,Enrique Marin,Wasabi,10,4,0,177.8,77.11,,
be4076c9e8d791e3,Joao Zeferino,The Brazilian Samurai,21,9,0,180.34,77.11,,Orthodox
94527830000ab715,Rani Yahya,,28,12,1,167.64,61.23,170.18,Orthodox
3dc3022232b79c7a,Brian Foster,The Foster Boy,27,10,0,175.26,77.11,180.34,Orthodox
ce47f49e5c386a9c,Kit Cope,Havoc,6,7,0,182.88,77.11,,Orthodox
1cecc8fe6748a532,Stephen Bass,Bigfish,11,2,0,175.26,65.77,,Orthodox
0112352cb32f5026,Denis Tiuliulin,,10,10,0,185.42,83.91,195.58,Orthodox
c41d426cc7326d1b,Yan Xiaonan,,19,5,0,165.1,52.16,160.02,Orthodox
cdb96af67d096b1e,Alex Morono,The Great White,24,12,0,180.34,77.11,182.88,Orthodox
d4270315cbcf2569,Jacob Malkoun,Mamba,8,3,0,175.26,83.91,185.42,Orthodox
a56607a451e4c70d,Chris Wilson,The Professor,18,10,0,185.42,77.11,190.5,Orthodox
745fa7b605f8e2da,Fatima Kline,The Archangel,8,1,0,167.64,52.16,170.18,Orthodox
c2e3e67b5911bfb7,Diego Brandao,DB,22,11,0,170.18,65.77,162.56,Orthodox
4b8fb0453a596b8e,Hector Urbina,El Toro,17,10,1,180.34,77.11,185.42,Orthodox
f14f644d41ade29f,Cody Brundage,,11,7,0,182.88,83.91,182.88,Orthodox
e64b96c07d7ce999,Li Jingliang,The Leech,19,9,0,182.88,77.11,180.34,Orthodox
c24b1db4b809d41b,Renato Verissimo,Charuto,7,5,0,185.42,77.11,,Orthodox
9c907996820d2d69,Jimmie Rivera,El Terror,23,5,0,162.56,61.23,172.72,Orthodox
bbc9ab95fa766493,Anderson Dos Santos,Berinja,21,9,0,165.1,61.23,177.8,Orthodox
3f56b99447f00607,Paul Redmond,Redser,12,7,0,177.8,65.77,,Orthodox
658c3465581ae46b,Pat Barry,HD,8,7,0,180.34,106.59,187.96,Orthodox
48e093ea1f43a053,Takeya Mizugaki,,21,11,2,170.18,61.23,175.26,Orthodox
45230be0641f3f53,Leonardo Morales,Chimy,6,2,0,172.72,61.23,,Southpaw
4123fd4dcc1fe937,David Terrell,The Soul Assassin,6,2,0,185.42,83.91,,Southpaw
725b1abc9a39d873,AJ Fletcher,The Ghost,10,3,0,177.8,77.11,170.18,Switch
ee9ebceabfd16fa7,Kevin Lee,The Motown Phenom,18,8,0,175.26,77.11,195.58,Orthodox
3cf66c62d9069f43,Lucie Pudilova,,14,10,0,172.72,56.7,170.18,Orthodox
d0d7160824278840,Junior Assuncao,,16,6,0,175.26,65.77,182.88,Orthodox
68b8ebdfce9dbb61,Charalampos Grigoriou,Ferocious,8,5,0,170.18,61.23,170.18,Orthodox
4f140403000158b5,Herbert Burns,The Blaze,11,6,0,175.26,65.77,185.42,Orthodox
f72465a784c1b084,Jessica Eye,Evil,15,11,0,167.64,56.7,167.64,Orthodox
60884f31ead1609c,Jonathan Wiezorek,,11,2,0,190.5,113.4,,Southpaw
330ec26453c44a59,Mike Nickels,,9,5,0,193.04,92.99,,Orthodox
744e098e065cfdbe,Ricardo Romero,,11,3,0,182.88,92.99,193.04,Orthodox
e9a3aeb207578eea,Ilir Latifi,The Sledgehammer,17,9,0,177.8,104.33,185.42,Orthodox
b8aef0faf4ce9b31,Sam Sicilia,,15,8,0,172.72,65.77,170.18,Orthodox
3414b50b08a10600,Antonio McKee,Mandingo,29,6,2,172.72,70.31,,Southpaw
e3779ef06e98f185,Keith Berish,Sha Bang Bang,5,1,0,182.88,92.99,,Orthodox
e56df3c1d8b4b1cc,Homer Moore,The Rock,26,9,2,177.8,92.99,,Orthodox
81d9df19e255b8b6,Jarred Brooks,The Monkey God,13,2,0,160.02,56.7,157.48,Switch
2f6a993c7f547c13,Sergey Morozov,,19,5,0,167.64,61.23,170.18,Orthodox
de594b35c45c2e9a,Eduarda Moura,Ronda,12,1,0,167.64,56.7,170.18,Orthodox
934de214814b8ff4,Jesse Bongfeldt,Water,16,5,1,182.88,83.91,,Orthodox
505934897b8b4824,Thaddeus Luster,,0,1,0,190.5,95.25,,
f300763147320d12,Liliya Shakirova,,8,2,0,162.56,56.7,165.1,Orthodox
ce1e867808ef5fce,Justin Willis,Big Pretty,8,2,0,185.42,119.75,198.12,Southpaw
